,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
370,200754,Mouhamed Sene,1610612760,SEA,21,28,5,23,0.179,6.1,0.6,1.8,0.367,0,0,0,0.6,1,0.586,0.6,1,1.6,0,0.4,0.1,0.4,0.1,1.2,0.7,1.9,-1.8,5,0,0,51,60,40,73,64,60,59,57,49,60,49,42,40,58,40,44,42,73,66,66,16,63,45,48,59,54,53,23,1,5,"2,007,541,610,612,760",,0
371,1731,Tyronn Lue,1610612747,LAL,22,15,7,8,0.467,12.7,1.9,4.3,0.431,0.5,1.1,0.438,0.8,1.4,0.571,0.1,0.3,0.3,1.7,0.7,0.3,0,0.4,1.9,0,5,-0.1,8.2,0,0,46,40,44,38,27,23,25,28,12,15,4,36,29,41,58,56,59,9,34,33,47,22,21,12,24,20,30,16,1,5,"17,311,610,612,747",111,0
372,2106,Ruben Wolkowyski,1610612760,SEA,27,34,16,18,0.471,8.9,0.7,2.3,0.316,0,0.1,0,0.7,1,0.735,0.4,1,1.4,0.1,0.4,0.2,0.5,0.5,1.1,0,2.2,0.2,5.7,0,0,34,32,33,36,42,47,44,56,33,39,33,31,34,20,46,41,44,60,57,44,10,18,45,1,45,12,42,11,2,5,"21,061,610,612,760",,0
373,1902,Jeff Foster,1610612754,IND,23,19,16,3,0.842,4.5,0.7,1.2,0.565,0,0.1,0,0.9,1.3,0.68,0.6,1.1,1.7,0.3,0.1,0.3,0.1,0.1,0.9,0,2.3,-0.7,5.5,1,0,44,30,51,5,57,48,59,2,34,40,34,28,26,29,30,38,36,47,57,37,44,53,47,50,44,28,43,14,4,5,"19,021,610,612,754",90,0
374,2068,Lavor Postell,1610612752,NYK,23,26,15,11,0.577,6.5,0.7,2.1,0.315,0.1,0.4,0.273,0.8,1,0.815,0.3,0.7,1,0.2,0.7,0.2,0.1,0.1,0.5,0,2.3,0.3,3.8,0,0,42,33,44,22,53,51,47,57,22,22,23,25,31,6,50,57,54,53,38,50,46,54,61,1,43,11,58,11,2,5,"20,681,610,612,752",,0
375,101146,Roko Ukic,1610612761,TOR,24,72,31,41,0.431,12.4,1.7,4.5,0.38,0.2,0.9,0.177,0.6,0.8,0.733,0.4,0.7,1,2.1,0.8,0.4,0,0.5,1.1,0.8,4.2,-1.3,9.1,0,0,20,17,18,32,37,37,30,50,29,24,32,42,43,29,43,53,49,7,28,31,51,20,47,39,39,36,38,23,2,5,"1,011,461,610,612,760",200,0
377,2051,Donnell Harvey,1610612742,DAL,20,18,14,4,0.778,3.5,0.4,0.8,0.571,0,0,0,0.3,0.9,0.375,0.3,0.8,1.1,0.1,0.4,0.2,0.1,0.1,0.8,0,1.2,-0.8,3,0,0,46,34,53,5,64,60,65,2,33,51,33,51,38,57,47,51,52,58,53,46,49,61,52,1,59,27,60,11,2,5,"20,511,610,612,742",137,0
378,2422,John Salmons,1610612755,PHI,23,64,37,27,0.578,7.7,0.8,1.8,0.414,0.2,0.5,0.323,0.4,0.5,0.743,0.3,0.7,0.9,0.7,0.5,0.3,0.1,0.2,0.8,0,2.1,0.1,4.9,0,0,21,8,30,14,46,49,54,23,29,30,18,44,46,24,48,47,48,32,51,41,42,38,51,11,47,17,47,16,2,5,"24,221,610,612,755",51,0
379,1942,Harold Jamison,1610612748,MIA,23,12,6,6,0.5,6.2,0.6,1.7,0.35,0,0,0,0.3,1.5,0.222,1.3,0.4,1.8,0.3,0.3,0.2,0.1,0.5,1.4,0,1.5,-1.5,4.5,0,0,48,45,45,26,50,54,54,45,34,46,34,50,23,57,13,57,35,43,51,49,39,17,32,50,53,42,49,18,4,5,"19,421,610,612,748",,0
380,1509,Kelvin Cato,1610612757,POR,23,74,41,33,0.554,13.7,1.3,3.1,0.428,0,0,0,1.2,1.7,0.688,1.2,2.2,3.4,0.3,0.6,0.4,1.3,0.5,2.2,0,3.8,-0.8,12.8,1,0,11,5,21,22,28,31,33,24,40,47,40,23,23,34,15,15,15,44,44,29,5,20,16,15,29,34,21,12,1,5,"15,091,610,612,757",103,0
