,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
2,2199,Tyson Chandler,1610612741,CHI,19,71,19,52,0.268,19.6,2.1,4.3,0.497,0,0,0,1.9,3.1,0.604,1.6,3.2,4.8,0.8,1.4,0.4,1.3,0.3,2.5,0,6.1,-3,16.8,7,0,15,31,6,57,16,20,24,10,34,51,34,7,6,52,7,3,6,30,9,27,5,42,10,9,19,60,13,3,2,5,"21,991,610,612,741",19,1
6,2207,Joe Johnson,1610612756,PHX,21,77,38,39,0.494,24.9,3.3,7.6,0.43,0.5,1.7,0.292,0.5,0.7,0.774,1,2.4,3.3,2.3,0.9,0.8,0.3,0.4,1.5,0,7.5,-0.6,17.2,2,0,9,10,12,32,9,11,10,26,13,12,20,44,49,18,23,17,20,9,23,12,32,20,30,16,11,29,12,10,2,5,"22,071,610,612,756",29,1
13,101122,Danny Granger,1610612754,IND,23,78,39,39,0.5,22.6,2.8,6.1,0.462,0.4,1.2,0.323,1.5,1.9,0.777,1.7,3.2,4.9,1.2,1,0.7,0.8,0.4,2.7,1.8,7.5,-0.7,18.8,6,0,11,4,21,33,10,15,15,24,20,20,25,14,13,28,5,6,5,20,24,7,2,20,10,12,15,38,8,6,2,5,"1,011,221,610,612,750",14,1
19,2731,Emeka Okafor,1610612766,CHA,22,73,16,57,0.219,35.6,6.1,13.7,0.447,0,0,0,2.9,4.7,0.609,3.8,7.1,10.9,0.9,1.7,0.8,1.7,1.2,2.9,0,15.1,-4.7,35.5,47,0,18,31,4,54,1,1,1,23,40,53,40,2,2,46,1,1,1,30,7,11,2,1,4,1,1,66,1,1,2,5,"27,311,610,612,766",20,1
27,1716,Larry Hughes,1610612755,PHI,20,50,28,22,0.56,19.8,3.4,8.3,0.411,0.2,1,0.154,2.1,3,0.709,1.7,2.1,3.8,1.5,1.4,0.9,0.3,1,1.9,0,9.1,0.3,18.1,1,0,1,5,14,18,15,12,9,34,22,16,35,5,6,29,7,13,8,12,13,9,22,3,20,12,11,18,10,12,1,5,"17,161,610,612,755",18,1
45,1889,Andre Miller,1610612739,CLE,24,82,32,50,0.39,25.6,4.1,9.2,0.449,0.1,0.6,0.204,2.8,3.6,0.774,1,2.4,3.4,5.8,2,1,0.2,1.1,2.4,0.4,11.1,-1.3,25.6,8,1,1,15,7,42,7,7,6,13,25,25,27,4,5,11,19,11,14,2,6,10,24,2,11,6,6,39,4,4,2,5,"18,891,610,612,739",12,1
48,200750,Brandon Roy,1610612757,POR,22,57,23,34,0.404,35.3,6.1,13.4,0.456,1,2.6,0.377,3.5,4.2,0.838,1,3.4,4.4,4,2,1.2,0.2,0.5,2.4,4,16.8,-3.4,30.1,4,0,28,26,21,38,1,1,1,27,6,5,11,1,1,11,16,3,8,1,1,4,29,6,8,1,1,76,1,5,1,5,"2,007,501,610,612,750",17,1
51,201144,Mike Conley,1610612763,MEM,20,53,14,39,0.264,26.1,3.6,8.3,0.428,0.6,1.7,0.33,1.7,2.3,0.732,0.4,2.2,2.6,4.2,1.7,0.8,0,0.7,1.6,2.1,9.4,-5.4,19.8,2,0,26,34,12,52,8,9,7,31,8,8,11,12,11,24,44,20,28,2,5,8,49,6,27,10,7,59,8,9,1,5,"2,011,441,610,612,760",29,1
74,201599,DeAndre Jordan,1610612746,LAC,20,53,11,42,0.208,14.6,1.8,2.8,0.633,0,0,0,0.8,2.1,0.385,1.4,3.1,4.5,0.2,0.8,0.2,1.1,0.2,1.8,1.6,4.3,-4.6,13.2,3,0,34,43,14,57,29,35,45,3,34,49,34,35,17,51,16,12,13,50,33,48,4,41,25,19,37,59,26,12,2,5,"2,015,991,610,612,740",10,1
91,2547,Chris Bosh,1610612761,TOR,20,75,29,46,0.387,33.5,4.4,9.5,0.459,0.1,0.2,0.357,2.7,3.8,0.701,2.5,4.9,7.4,1,1.4,0.8,1.4,0.9,2.9,0,11.5,-2.2,27.1,13,0,9,15,7,45,5,4,6,15,35,44,12,4,4,37,1,1,1,24,14,13,1,4,2,5,5,54,5,2,2,5,"25,471,610,612,761",4,1
105,2548,Dwyane Wade,1610612748,MIA,22,61,34,27,0.557,35,6.1,13.1,0.465,0.3,0.9,0.302,3.8,5.1,0.747,1.4,2.7,4,4.5,3.2,1.4,0.6,1.2,2.3,0,16.2,1.4,30.6,1,0,22,11,28,18,4,3,3,13,21,21,24,3,3,30,12,12,11,4,2,2,8,2,14,5,3,8,3,14,2,5,"25,481,610,612,748",3,1
109,1713,Vince Carter,1610612761,TOR,22,50,23,27,0.46,35.2,6.9,15.3,0.45,0.4,1.3,0.288,4.1,5.4,0.761,1.9,3.8,5.7,3,2.2,1.1,1.5,0.8,2.8,0,18.3,0.9,35.2,6,0,1,11,9,39,2,1,1,20,13,14,21,1,1,18,5,4,5,3,4,5,1,5,7,10,1,13,1,3,1,5,"17,131,610,612,761",10,1
112,201142,Kevin Durant,1610612760,SEA,19,80,19,61,0.238,34.6,7.3,17.1,0.43,0.7,2.6,0.288,4.9,5.6,0.873,0.9,3.5,4.4,2.4,2.9,1,0.9,1.1,1.5,3.9,20.3,-8.1,32,1,0,4,29,1,54,1,1,1,28,5,6,17,1,1,4,26,5,10,4,1,4,6,1,30,1,1,64,1,13,1,5,"2,011,421,610,612,760",1,1
156,201143,Al Horford,1610612737,ATL,22,81,37,44,0.457,31.4,4.1,8.2,0.499,0,0.1,0,1.9,2.6,0.731,3.1,6.6,9.7,1.5,1.7,0.7,0.9,0.6,3.3,2.2,10.1,-1.4,27.4,25,0,3,9,8,33,2,4,8,13,38,43,38,7,7,25,1,1,1,10,4,12,5,11,1,7,6,39,2,1,1,5,"2,011,431,610,612,730",8,1
158,1497,Chauncey Billups,1610612761,TOR,21,80,28,52,0.35,27.7,3.5,9.4,0.374,1.3,4.1,0.329,2.8,3.3,0.85,0.8,1.6,2.4,3.9,2.2,1.3,0.1,0.7,2.2,0,11.2,-5.6,21.9,0,0,5,11,8,41,10,12,7,44,1,1,17,5,7,6,24,22,21,5,6,4,52,7,20,16,8,59,8,18,1,5,"14,971,610,612,761",23,1
164,101115,Andrew Bynum,1610612747,LAL,18,46,29,17,0.63,7.4,0.7,1.8,0.402,0,0,0,0.2,0.6,0.296,0.7,1,1.7,0.2,0.4,0.1,0.5,0.3,1.2,0.5,1.6,-1,5.3,0,0,33,15,36,14,59,67,66,53,53,61,53,73,58,75,25,48,43,68,66,73,9,25,51,55,71,46,55,23,2,5,"1,011,151,610,612,740",6,1
171,201572,Brook Lopez,1610612751,NJN,21,82,34,48,0.415,30.5,5.5,10.3,0.531,0,0,0,2.1,2.6,0.793,2.7,5.4,8.1,1,1.8,0.5,1.8,0.9,3.1,2.3,13,-1.3,29.7,18,0,1,12,10,36,7,4,6,7,34,46,34,11,11,19,4,2,2,22,7,22,1,8,4,11,6,35,3,2,2,5,"2,015,721,610,612,750",19,1
180,2549,Chris Kaman,1610612746,LAC,22,82,28,54,0.341,22.6,2.4,5.3,0.46,0,0,0,1.2,1.7,0.697,1.5,4.1,5.6,1,1.9,0.3,0.9,0.7,2.6,0,6.1,-2.6,16,6,0,1,19,2,49,12,15,19,14,41,52,41,13,11,38,7,3,4,25,7,43,2,6,7,5,16,56,12,6,2,5,"25,491,610,612,746",17,1
187,2210,Richard Jefferson,1610612751,NJN,22,79,51,28,0.646,24.3,3.4,7.5,0.457,0.2,0.7,0.232,2.4,3.4,0.713,1.1,2.6,3.7,1.8,1.4,0.8,0.6,0.7,2.7,0,9.4,1.3,19.4,0,0,6,2,24,8,11,9,11,16,22,22,26,5,5,32,21,13,16,13,10,11,14,9,6,16,6,5,9,23,2,5,"22,101,610,612,751",25,1
195,1894,Corey Maggette,1610612753,ORL,20,77,37,40,0.481,17.8,2.9,6.1,0.478,0,0.1,0.182,2.5,3.4,0.751,1.6,2.3,3.9,0.8,1.8,0.3,0.3,0.6,2.2,0.1,8.4,-0.7,14.5,2,0,8,8,13,31,20,14,16,9,32,36,28,6,6,15,9,12,8,28,8,32,15,10,16,30,11,29,18,9,4,5,"18,941,610,612,753",26,1
206,1495,Tim Duncan,1610612759,SAS,22,82,56,26,0.683,39.1,8.6,15.7,0.549,0,0.1,0,3.9,5.9,0.662,3.3,8.6,11.9,2.7,3.4,0.7,2.5,1.2,3.1,0,21.1,5.2,45.7,57,0,1,1,29,10,1,1,2,2,40,40,40,3,1,39,2,1,1,7,1,17,1,3,7,19,1,1,1,1,1,5,"14,951,610,612,759",1,1
212,1503,Tracy McGrady,1610612761,TOR,19,64,13,51,0.203,18.4,2.8,6.2,0.45,0.2,0.6,0.341,1.2,1.7,0.712,1.6,2.6,4.2,1.5,1,0.8,1,0.4,1.3,0,7,-3.6,18.5,3,0,18,33,10,54,21,18,19,16,20,21,11,21,21,29,8,10,9,18,29,12,7,25,34,19,19,54,14,9,1,5,"15,031,610,612,761",4,1
217,978,Peja Stojakovic,1610612758,SAC,22,48,26,22,0.542,21.4,2.9,7.8,0.378,1.2,3.7,0.32,1.3,1.5,0.851,0.9,2.1,3,1.5,1.1,0.9,0.1,0.4,0.9,0,8.4,0.7,16.1,0,0,12,8,14,23,13,14,13,44,4,3,16,16,25,7,24,16,21,14,16,10,30,25,46,12,13,14,13,16,1,5,"9,781,610,612,758",7,1
227,1802,Brad Miller,1610612766,CHH,23,38,20,18,0.526,12.3,2.1,3.6,0.565,0,0.1,0.5,2.1,2.7,0.794,0.9,2.2,3.1,0.6,0.8,0.2,0.5,0.7,1.7,0,6.3,1.5,12.1,2,0,21,14,22,27,29,22,30,7,36,42,3,6,10,12,23,11,16,30,30,38,14,9,29,12,16,9,20,8,1,5,"18,021,610,612,766",8,1
233,2216,Zach Randolph,1610612757,POR,20,41,22,19,0.537,5.8,1.2,2.6,0.449,0,0,0,0.4,0.7,0.667,0.7,0.9,1.7,0.3,0.4,0.2,0.1,0.3,0.7,0,2.8,-0.5,5.7,0,0,32,24,34,19,58,41,44,22,34,51,34,47,50,43,34,47,43,51,55,52,45,38,56,16,45,26,50,23,2,5,"22,161,610,612,757",9,1
234,101135,David Lee,1610612752,NYK,23,67,21,46,0.313,16.8,2,3.4,0.598,0,0,0,1.1,1.8,0.577,1.6,2.9,4.5,0.6,0.8,0.4,0.3,0.3,1.9,1.4,5.1,-1.6,13,4,0,18,29,11,69,24,27,30,8,53,61,53,23,14,65,8,10,9,39,33,28,20,29,24,18,28,65,20,8,2,5,"1,011,351,610,612,750",3,1
246,2240,Gilbert Arenas,1610612744,GSW,20,47,10,37,0.213,24.5,3.7,8.2,0.453,0.8,2.4,0.345,2.6,3.4,0.775,0.9,1.9,2.8,3.7,2.1,1.5,0.2,0.6,2.4,0,10.9,-2.8,22.8,1,0,30,45,15,63,10,4,7,18,5,7,9,3,4,16,26,24,26,3,3,3,35,10,11,16,4,57,6,16,2,5,"22,401,610,612,744",11,1
259,201567,Kevin Love,1610612750,MIN,20,81,24,57,0.296,25.3,3.9,8.5,0.459,0,0.2,0.105,3.3,4.1,0.789,3.4,5.7,9.1,1,1.5,0.4,0.6,1,2.5,3.3,11.1,-3.3,25.2,29,0,8,23,7,46,12,9,9,28,33,35,33,4,4,21,1,1,1,23,11,29,15,4,8,4,9,53,7,1,2,5,"2,015,671,610,612,750",2,1
289,2743,Kris Humphries,1610612762,UTA,20,67,17,50,0.254,13,1.7,4.3,0.404,0,0.1,0.333,0.7,1.5,0.436,1.1,1.9,2.9,0.6,0.8,0.4,0.3,0.5,1.4,0,4.1,-2.5,9.8,1,0,22,27,6,51,33,28,27,40,37,41,17,38,19,63,19,24,21,38,27,39,27,12,39,1,30,56,31,14,2,5,"27,431,610,612,762",23,1
291,201939,Stephen Curry,1610612744,GSW,22,80,25,55,0.313,36.2,6.6,14.3,0.462,2.1,4.8,0.437,2.2,2.5,0.885,0.6,3.9,4.5,5.9,3,1.9,0.2,0.6,3.2,2.6,17.5,-2.3,35.1,12,1,7,24,4,46,2,2,3,23,1,1,5,6,9,2,28,5,10,1,1,1,20,14,2,3,2,47,2,4,1,5,"2,019,391,610,612,740",1,1
293,1740,Rashard Lewis,1610612760,SEA,19,20,11,9,0.55,7.4,1,2.6,0.365,0.1,0.3,0.167,0.4,0.7,0.571,0.7,0.6,1.3,0.2,1,0.4,0.1,0.4,1,0,2.4,-2.6,4.5,0,0,40,26,41,21,43,45,42,49,31,30,30,49,50,41,35,48,44,48,19,28,42,22,44,12,48,50,50,16,1,5,"17,401,610,612,760",23,1
311,201935,James Harden,1610612760,OKC,20,76,47,29,0.618,22.9,3.1,7.6,0.403,1.2,3.3,0.375,2.6,3.2,0.808,0.6,2.6,3.2,1.8,1.4,1.1,0.3,0.6,2.6,2.5,9.9,2.4,19,0,0,13,5,27,15,13,19,13,39,6,6,14,5,5,14,26,13,16,14,8,5,14,15,7,6,9,3,11,22,5,5,"2,019,351,610,612,760",2,1
312,2734,Devin Harris,1610612742,DAL,22,76,56,20,0.737,15.5,2.1,4.8,0.429,0.6,1.7,0.336,1,1.4,0.757,0.4,1,1.3,2.2,1.1,1,0.3,0.4,1.8,0,5.7,-0.5,13.4,0,0,14,2,34,5,25,23,23,34,8,12,16,19,23,15,42,43,44,6,17,4,29,30,29,1,22,24,22,23,2,5,"27,341,610,612,742",23,1
343,1885,Lamar Odom,1610612746,LAC,20,76,15,61,0.197,36.4,5.9,13.5,0.438,0.8,2.2,0.36,4,5.5,0.719,2.1,5.7,7.8,4.2,3.4,1.2,1.3,1,3.8,0.2,16.6,-5.9,36.2,26,3,10,32,2,57,2,3,3,17,6,5,7,2,2,23,2,1,2,5,2,6,3,3,1,17,3,59,2,2,1,5,"18,851,610,612,746",16,1
345,200794,Paul Millsap,1610612762,UTA,22,82,51,31,0.622,17.9,2.5,4.9,0.525,0,0,0.333,1.7,2.5,0.673,2.2,2.9,5.2,0.8,1.1,0.8,0.9,0.6,2.9,2,6.8,1.8,18.2,7,0,1,1,23,12,16,14,20,13,48,53,25,7,4,39,2,7,2,31,12,9,4,4,3,6,13,5,8,2,1,5,"2,007,941,610,612,760",15,1
350,2406,Caron Butler,1610612748,MIA,23,78,24,54,0.308,36.6,5.5,13.2,0.416,0.4,1.4,0.318,4,4.8,0.824,1.7,3.4,5.1,2.7,2.5,1.8,0.4,1.2,2.9,0,15.4,-4.9,29.6,3,0,8,21,5,46,1,1,1,22,16,14,22,1,2,6,7,7,7,5,1,1,18,3,4,11,1,60,2,6,2,5,"24,061,610,612,748",19,1
353,200768,Kyle Lowry,1610612763,MEM,21,10,2,8,0.2,17.5,1.4,3.8,0.368,0.3,0.8,0.375,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.2,1.4,0.1,0.3,2,2.6,5.6,6,17.4,0,0,67,69,60,69,18,39,30,56,26,30,12,2,2,6,9,20,15,5,9,3,44,20,18,2,20,2,10,23,1,5,"2,007,681,610,612,760",19,1
376,2246,Mehmet Okur,1610612765,DET,24,72,43,29,0.597,19,2.5,5.9,0.426,0.5,1.6,0.339,1.3,1.8,0.733,1.6,3,4.7,1,0.9,0.3,0.5,0.4,2.3,0,6.9,1.7,15.7,3,0,13,4,26,12,17,16,16,20,12,13,14,13,14,27,8,8,8,23,25,31,11,23,14,8,15,7,14,6,2,5,"22,461,610,612,765",29,1
396,2200,Pau Gasol,1610612763,MEM,21,82,23,59,0.28,36.6,6.7,13,0.518,0,0.1,0.2,4.1,5.8,0.709,2.9,6,8.9,2.7,2.7,0.5,2.1,1.3,2.4,0,17.6,-3.8,37.3,35,0,1,20,2,54,2,1,2,5,33,43,28,1,1,33,1,1,1,8,2,18,1,1,14,14,1,66,1,1,2,5,"22,001,610,612,763",5,1
401,201565,Derrick Rose,1610612741,CHI,20,81,40,41,0.494,37,7.1,14.9,0.475,0.2,0.9,0.222,2.4,3.1,0.788,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.1,1.5,2.8,16.8,-1.5,31.6,8,0,8,10,18,28,2,1,2,21,27,23,30,7,9,22,18,14,15,1,3,9,31,2,33,7,2,40,1,7,2,5,"2,015,651,610,612,740",11,1
420,2211,Troy Murphy,1610612744,GSW,22,82,21,61,0.256,17.7,2.2,5.2,0.421,0,0.1,0.333,1.5,1.9,0.776,1.2,2.7,3.9,0.9,1,0.4,0.3,0.3,2.6,0,5.9,-2.4,12.9,3,0,1,25,1,59,19,19,19,33,31,38,10,15,17,15,14,10,9,25,16,22,33,31,7,14,21,53,20,6,2,5,"22,111,610,612,744",15,1
428,101108,Chris Paul,1610612740,NOK,21,78,35,43,0.449,36,5.2,12.1,0.43,0.6,2.3,0.282,5.1,6,0.847,0.8,4.3,5.1,7.8,2.3,2.2,0.1,0.8,2.8,5.2,16.1,-2.3,38.6,21,2,11,9,14,47,1,2,1,36,14,11,29,1,1,15,22,2,4,1,1,1,52,1,8,1,1,73,1,1,1,5,"1,011,081,610,612,740",2,1
443,2561,David West,1610612740,NOH,23,71,35,36,0.493,13.1,1.5,3.2,0.474,0,0,0,0.8,1.1,0.713,1.6,2.5,4.2,0.8,0.7,0.4,0.4,0.4,1.6,0,3.8,-1.3,11.8,2,0,16,9,17,28,30,32,36,11,41,51,41,28,30,33,5,16,10,28,40,35,13,27,27,5,34,40,22,10,2,5,"25,611,610,612,740",18,1
445,101106,Andrew Bogut,1610612749,MIL,21,82,40,42,0.488,28.6,3.9,7.4,0.533,0,0,0,1.5,2.4,0.629,2.3,4.7,7,2.3,1.5,0.6,0.8,0.7,3.2,2.8,9.4,0.9,24,12,0,1,3,17,39,6,6,10,10,53,57,53,13,9,57,1,1,1,9,8,16,1,6,1,3,7,5,4,3,2,5,"1,011,061,610,612,740",20,1
450,1891,Jason Terry,1610612737,ATL,22,81,28,53,0.346,23.3,3.1,7.4,0.415,0.6,1.9,0.293,1.4,1.7,0.807,0.3,1.8,2,4.3,1.9,1.1,0.1,0.4,1.6,0.1,8.1,-3.2,18.8,5,0,4,19,6,45,14,12,11,25,9,9,17,16,18,6,48,18,27,4,7,9,35,22,27,34,14,52,12,7,4,5,"18,911,610,612,737",30,1
458,2397,Yao Ming,1610612745,HOU,22,82,43,39,0.524,29,4.9,9.8,0.498,0,0,0.5,3.7,4.5,0.811,2.4,5.8,8.2,1.7,2.1,0.4,1.8,0.7,2.8,0,13.5,1.7,30.3,27,0,1,4,16,20,4,3,6,7,43,49,1,3,3,8,5,1,2,14,6,29,1,7,5,10,3,5,1,1,2,5,"23,971,610,612,745",6,1
479,1718,Paul Pierce,1610612738,BOS,21,48,19,29,0.396,34,5.9,13.5,0.439,1.8,4.3,0.412,2.9,4.1,0.713,2.4,4,6.4,2.4,2.4,1.7,1,1,2.9,0,16.5,-1.3,33.7,3,0,12,15,8,41,4,2,2,26,2,2,6,3,2,27,4,3,3,5,3,2,5,1,4,8,2,38,2,6,1,5,"17,181,610,612,738",9,1
480,1712,Antawn Jamison,1610612744,GSW,23,47,21,26,0.447,22.5,3.8,8.4,0.452,0.1,0.2,0.3,1.9,3.3,0.588,2.8,3.6,6.4,0.7,1.4,0.8,0.3,0.7,2.2,0,9.6,-1,20.3,7,0,14,12,10,40,11,8,8,19,30,36,19,10,5,40,1,5,4,28,11,11,19,7,15,12,9,34,8,1,1,5,"17,121,610,612,744",16,1
497,101145,Monta Ellis,1610612744,GSW,20,49,16,33,0.327,18.1,2.7,6.5,0.415,0.6,1.7,0.341,0.9,1.2,0.712,0.4,1.7,2.1,1.6,1.2,0.7,0.2,0.6,1.4,1.1,6.8,0.2,13.2,0,0,32,37,25,64,20,16,14,42,16,14,17,32,31,42,42,25,27,13,17,12,27,8,41,25,18,14,18,23,2,5,"1,011,451,610,612,740",27,1
501,1884,Baron Davis,1610612766,CHH,21,82,49,33,0.598,18.6,2.2,5.3,0.42,0.3,1.4,0.225,1.2,1.9,0.634,0.6,1.4,2,3.8,1.7,1.2,0.2,0.3,2.5,0.1,5.9,0.7,16.5,0,0,1,3,16,22,19,20,22,22,19,15,24,17,16,39,35,27,29,6,11,7,21,32,8,35,20,11,15,18,4,5,"18,841,610,612,766",22,1
502,200746,LaMarcus Aldridge,1610612757,POR,21,63,24,39,0.381,22.1,3.8,7.6,0.503,0,0,0,1.3,1.8,0.722,2.3,2.7,5,0.4,0.7,0.3,1.2,0.3,3,1.6,9,-0.9,19.3,6,0,21,23,15,44,10,5,8,16,49,54,49,17,18,28,1,11,4,49,35,40,1,18,2,18,7,40,6,3,1,5,"2,007,461,610,612,750",9,1
533,201942,DeMar DeRozan,1610612761,TOR,20,77,36,41,0.468,21.6,3.3,6.6,0.498,0.1,0.2,0.25,1.9,2.5,0.763,0.9,2,2.9,0.7,0.8,0.6,0.2,0.5,2.3,1.9,8.6,-3,14.7,0,0,11,13,11,28,15,15,18,11,38,39,36,11,8,20,17,19,19,30,30,20,21,16,11,15,14,52,21,22,5,5,"2,019,421,610,612,760",22,1
538,1717,Dirk Nowitzki,1610612742,DAL,21,47,17,30,0.362,20.4,2.9,7.1,0.406,0.3,1.4,0.206,2.1,2.7,0.773,0.9,2.6,3.4,1,1.6,0.6,0.6,0.5,2.2,0,8.2,-0.4,15.8,2,0,14,17,7,44,14,15,14,35,16,11,27,7,9,16,26,7,13,20,8,15,11,18,14,12,14,26,14,8,1,5,"17,171,610,612,742",3,1
556,980,Zydrunas Ilgauskas,1610612739,CLE,23,82,47,35,0.573,29,5.5,10.7,0.518,0,0,0.25,2.8,3.7,0.762,3.4,5.4,8.8,0.9,1.8,0.6,1.6,0.7,3.5,0,13.9,2.6,30.8,35,0,1,2,18,19,8,4,5,3,39,45,28,6,5,20,1,2,2,29,11,20,3,8,2,7,4,3,3,2,1,5,"9,801,610,612,739",30,1
558,101162,Marcin Gortat,1610612753,ORL,24,6,6,0,1,6.8,1.3,2.8,0.471,0,0,0,0.3,0.5,0.667,1.3,1.3,2.7,0.3,0.3,0.2,0.2,0.2,0.7,0.8,3,0,7.4,1,0,56,44,61,1,50,37,41,18,38,48,38,48,52,31,14,35,27,42,48,48,34,48,49,32,43,20,38,13,1,5,"1,011,621,610,612,750",16,1
560,1536,Stephen Jackson,1610612751,NJN,23,77,25,52,0.325,21.6,3.2,7.4,0.425,0.7,2,0.335,1.3,1.8,0.719,0.5,2.2,2.7,1.8,1.7,1.1,0.2,0.5,2.2,0,8.2,-1.9,16.4,1,0,8,19,5,48,8,9,9,27,5,5,13,15,17,23,37,12,18,9,7,2,28,19,13,1,9,43,8,7,2,5,"15,361,610,612,751",28,1
574,2564,Boris Diaw,1610612737,ATL,22,76,28,48,0.368,25.2,1.8,4.1,0.447,0.1,0.3,0.231,0.7,1.2,0.602,1.5,3,4.5,2.4,1.7,0.8,0.5,0.2,2.5,0,4.5,-3.2,15.6,1,0,7,19,5,47,8,24,26,20,33,35,35,31,26,51,8,7,7,8,10,14,10,48,8,5,25,61,13,14,2,5,"25,641,610,612,737",30,1
594,201188,Marc Gasol,1610612763,MEM,24,82,24,58,0.293,30.7,4.3,8.1,0.53,0,0,0,3.4,4.6,0.733,2.5,4.9,7.4,1.7,2,0.8,1.1,0.6,3.2,4.8,11.9,-4.1,27,17,0,1,23,4,47,6,8,12,8,34,48,34,3,2,29,5,3,4,13,6,10,5,14,3,1,7,58,5,3,2,5,"2,011,881,610,612,760",13,1
636,2222,Gerald Wallace,1610612758,SAC,19,54,43,11,0.796,8,1.4,3.2,0.429,0,0.1,0,0.4,0.9,0.5,0.9,0.7,1.6,0.5,0.4,0.4,0.1,0.4,0.9,0,3.2,0.2,6.9,0,0,27,6,44,1,45,35,33,28,34,36,34,49,41,60,24,56,44,43,53,34,44,24,51,7,39,17,41,23,2,5,"22,221,610,612,758",16,1
637,1710,Mike Bibby,1610612763,VAN,21,50,8,42,0.16,35.1,5.2,12.1,0.43,0.3,1.5,0.203,2.5,3.4,0.751,0.6,2.1,2.7,6.5,2.9,1.6,0.1,0.5,2.4,0,13.2,-6.8,28.3,6,0,1,34,1,57,3,3,4,29,15,10,28,4,4,20,36,13,23,1,1,3,36,12,11,12,4,67,5,3,1,5,"17,101,610,612,763",25,1
641,2544,LeBron James,1610612739,CLE,19,79,33,46,0.418,39.6,7.9,18.9,0.417,0.8,2.7,0.29,4.4,5.8,0.754,1.3,4.2,5.5,5.9,3.5,1.6,0.7,1,1.9,0,20.9,-1.8,40,12,0,5,12,7,37,1,1,1,29,7,4,28,2,2,27,15,2,6,3,1,1,6,3,22,5,2,51,1,3,2,5,"25,441,610,612,739",1,1
645,2449,Luis Scola,1610612745,HOU,28,82,55,27,0.671,24.7,4.2,8.2,0.515,0,0,0,1.9,2.9,0.668,2.1,4.3,6.4,1.3,1.3,0.7,0.2,0.6,2.9,2.8,10.3,2,21.6,10,0,1,2,23,15,11,3,9,9,38,44,38,6,4,30,4,3,2,13,11,13,25,10,2,4,5,5,6,2,1,5,"24,491,610,612,745",30,1
664,200765,Rajon Rondo,1610612738,BOS,21,78,21,57,0.269,23.5,2.4,5.8,0.418,0.1,0.4,0.207,1.5,2.4,0.647,0.9,2.8,3.7,3.8,1.8,1.6,0.1,0.6,2.3,2.1,6.4,0.5,20.1,3,0,6,29,2,60,7,15,14,44,42,42,43,11,8,48,18,10,11,2,5,2,43,5,10,4,16,14,4,7,1,5,"2,007,651,610,612,730",25,1
669,200752,Rudy Gay,1610612763,MEM,20,78,20,58,0.256,27,4.1,9.7,0.422,0.7,1.8,0.364,1.9,2.7,0.727,1.2,3.3,4.5,1.3,1.8,0.9,0.9,0.7,2.5,2,10.8,-1.6,21.9,5,0,6,31,1,62,5,3,4,41,13,16,18,5,3,27,10,4,6,15,4,7,3,3,6,10,4,51,2,4,1,5,"2,007,521,610,612,760",27,1
682,2405,Amar'e Stoudemire,1610612756,PHX,20,82,44,38,0.537,31.3,4.8,10.1,0.472,0,0.1,0.2,3.9,5.9,0.661,3,5.7,8.8,1,2.3,0.8,1.1,1.3,3.3,0,13.5,0.1,28.6,25,0,1,3,18,18,2,4,5,11,41,42,39,2,1,41,1,2,1,25,2,10,3,2,2,3,2,16,3,2,2,5,"24,051,610,612,756",2,1
689,1496,Keith Van Horn,1610612751,NJN,22,62,32,30,0.516,37.6,7.2,16.9,0.426,1.1,3.6,0.308,4.2,4.9,0.846,2.3,4.3,6.6,1.7,2.6,1,0.4,1.7,3.5,0,19.7,2.3,31.8,10,0,19,9,25,24,2,2,1,25,2,2,23,2,2,9,4,3,4,17,3,8,13,1,3,5,2,6,2,4,1,5,"14,961,610,612,751",20,1
692,2746,Josh Smith,1610612737,ATL,19,74,11,63,0.149,27.7,3.7,8.1,0.455,0.1,0.3,0.174,2.2,3.2,0.688,2,4.2,6.2,1.7,1.8,0.8,1.9,0.5,2.1,0,9.7,-5.1,26.1,10,0,17,40,2,65,5,8,6,21,33,33,39,6,5,33,6,4,3,13,6,12,1,20,21,1,8,68,3,4,2,5,"27,461,610,612,737",12,1
